,sim_type,RHOS,NUM_STATIONS,NUM_PACKETS,BITRATE,PKTSIZE,delay,qsize,ssize,busy,fingerprint
195,fix,0.1,20,5000,2000,500,9.078330615,0.137741296,0.237311768,0.099608309,859.4499154
196,fix,0.1,20,5000,2000,1000,18.7348604,0.143934297,0.24590346,0.102128236,2882.205626
197,fix,0.1,20,5000,2000,2000,37.3641155,0.142030003,0.245699119,0.103735878,2744.876147
198,fix,0.1,20,10000,1000,500,18.01608488,0.137559083,0.236169262,0.098611382,7072.348382
199,fix,0.1,20,10000,1000,1000,35.99535275,0.132942569,0.23200769,0.099225806,5972.949629
200,fix,0.1,20,10000,1000,2000,71.0274022,0.133173497,0.231852706,0.098702311,5760.614702
201,fix,0.1,20,10000,1500,500,12.03139892,0.135539023,0.235872074,0.100510337,3574.710393
202,fix,0.1,20,10000,1500,1000,24.7967744,0.141584691,0.240720729,0.09919839,5604.545511
203,fix,0.1,20,10000,1500,2000,48.23801943,0.13666545,0.234750878,0.098324106,1494.593301
204,fix,0.1,20,10000,2000,500,9.015782224,0.136087641,0.236127833,0.100114638,5361.661085
205,fix,0.1,20,10000,2000,1000,17.80991124,0.134686753,0.234384185,0.099767761,8605.295583
206,fix,0.1,20,10000,2000,2000,35.97454662,0.135725501,0.233865542,0.098242171,6754.946443
207,fix,0.1,20,20000,1000,500,18.30235993,0.138757925,0.238962708,0.100206047,3366.248795
208,fix,0.1,20,20000,1000,1000,36.47698059,0.138241523,0.238132611,0.099903278,5785.710198
209,fix,0.1,20,20000,1000,2000,72.98065185,0.13813855,0.238431656,0.100480903,5427.012519
210,fix,0.1,20,20000,1500,500,12.00045479,0.139935031,0.240494277,0.100585087,2909.978739
211,fix,0.1,20,20000,1500,1000,24.11360322,0.135855265,0.236431557,0.100651435,3121.87406
212,fix,0.1,20,20000,1500,2000,49.00103037,0.13985133,0.240789256,0.100938778,9585.971001
213,fix,0.1,20,20000,2000,500,9.01630486,0.134007113,0.23426646,0.100347847,1423.30274
214,fix,0.1,20,20000,2000,1000,18.03579007,0.136627166,0.235700924,0.099189397,4777.888305
215,fix,0.1,20,20000,2000,2000,36.62764204,0.137396863,0.237161056,0.099813097,7964.328953
216,fix,0.2,5,2000,1000,500,4.004420594,0.196052962,0.401659765,0.206807468,4006.270098
217,fix,0.2,5,2000,1000,1000,7.742281375,0.170067189,0.369939092,0.200150479,9692.608862
218,fix,0.2,5,2000,1000,2000,15.2113942,0.166090408,0.365212912,0.199245513,4605.702418
219,fix,0.2,5,2000,1500,500,2.585769661,0.180612664,0.38505939,0.204592931,9549.52852
220,fix,0.2,5,2000,1500,1000,5.143184124,0.168683108,0.360802194,0.192512432,5749.924142
221,fix,0.2,5,2000,1500,2000,10.90027111,0.200508843,0.408154524,0.208497153,9406.203558
222,fix,0.2,5,2000,2000,500,2.055886317,0.184523354,0.389385072,0.204894054,9172.098262
223,fix,0.2,5,2000,2000,1000,3.74093521,0.158600414,0.359870764,0.201476227,8055.395424
224,fix,0.2,5,2000,2000,2000,7.969557833,0.181217451,0.389101132,0.209011775,3945.788174
225,fix,0.2,5,5000,1000,500,3.892924255,0.175684594,0.378002409,0.202516393,6826.274261
226,fix,0.2,5,5000,1000,1000,7.835826764,0.171734801,0.371734767,0.200504891,1690.741134
227,fix,0.2,5,5000,1000,2000,15.24148356,0.170147079,0.370822653,0.200941013,5289.288275
228,fix,0.2,5,5000,1500,500,2.58406341,0.17691643,0.375273889,0.199040443,6159.328393
229,fix,0.2,5,5000,1500,1000,5.210437509,0.172578252,0.378167171,0.205633453,3523.486331
230,fix,0.2,5,5000,1500,2000,10.43517226,0.1802247,0.376918097,0.196778485,8555.241062
